"DNL: 68401.23526422777" "1layer: 195763.984375" "2layer: 23654.205714938977"
"DNL: 68401.23526422777" "1layer: 142483.75" "2layer: 145171.13177972165"
"DNL: 68401.23526422777" "1layer: 135099.0625" "2layer: 147502.37887884182"
"DNL: 68401.23526422777" "1layer: 135144.375" "2layer: 147164.58334716954"
"DNL: 68401.23526422777" "1layer: 135182.984375" "2layer: 145103.68499675652"
"DNL: 68401.23526422777" "1layer: 19045195776.0" "2layer: 144837.73997631067"
"DNL: 68401.23526422777" "1layer: 13354635264.0" "2layer: 145935.53675328888"

"DNL: 68401.23526422777" "1layer: 23206.962890625" "2layer: 145300.5341899727"
"DNL: 68401.23526422777" "1layer: 23213.169921875" "2layer: 22353.474762336537"
"DNL: 68401.23526422777" "1layer: 23209.076171875" "2layer: 22399.56676940752"
"DNL: 68401.23526422777" "1layer: 23273.62890625" "2layer: 22170.55969403305"
"DNL: 68401.23526422777" "1layer: 46254.40625" "2layer: 22059.16648364518"
"DNL: 68401.23526422777" "1layer: 46085.51171875" "2layer: 22043.874899991682"
"DNL: 68401.23526422777" "1layer: 46193.734375" "2layer: 22342.397354237273"
"DNL: 68401.23526422777" "1layer: 46233.140625" "2layer: 22057.27704887332"
